adcode,name,lng,lat
210123,康平县,123.352703,42.741533
210124,法库县,123.416722,42.507045
210181,新民市,122.828868,41.996508
210200,大连市,121.618622,38.91459
210202,中山区,121.64376,38.921553
210203,西岗区,121.616112,38.914266
210204,沙河口区,121.593702,38.912859
210211,甘井子区,121.582614,38.975148
210212,旅顺口区,121.26713,38.812043
210213,金州区,121.789413,39.052745
210224,长海县,122.587824,39.272399
210281,瓦房店市,122.002656,39.63065
210282,普兰店市,121.9705,39.401555
210283,庄河市,122.970612,39.69829
210300,鞍山市,122.995632,41.110626
210302,铁东区,122.994475,41.110344
210303,铁西区,122.971834,41.11069
210304,立山区,123.024806,41.150622
210311,千山区,122.949298,41.068909
210321,台安县,122.429736,41.38686
210323,岫岩满族自治县,123.28833,40.281509
210381,海城市,122.752199,40.852533
210400,抚顺市,123.921109,41.875956
210402,新抚区,123.902858,41.86082
210403,东洲区,124.047219,41.866829
210404,望花区,123.801509,41.851803
210411,顺城区,123.917165,41.881132
210421,抚顺县,124.097979,41.922644
210422,新宾满族自治县,125.037547,41.732456
210423,清原满族自治县,124.927192,42.10135
210500,本溪市,123.770519,41.297909
210502,平山区,123.761231,41.291581
210503,溪湖区,123.765226,41.330056
210504,明山区,123.763288,41.302429
210505,南芬区,123.748381,41.104093
210521,本溪满族自治县,124.126156,41.300344
210522,桓仁满族自治县,125.359195,41.268997
210600,丹东市,124.383044,40.124296
210602,元宝区,124.397814,40.136483
210603,振兴区,124.361153,40.102801
210604,振安区,124.427709,40.158557
210624,宽甸满族自治县,124.784867,40.730412
210681,东港市,124.149437,39.883467
210682,凤城市,124.071067,40.457567
210700,锦州市,121.135742,41.119269
210702,古塔区,121.130085,41.115719
210703,凌河区,121.151304,41.114662
210711,太和区,121.107297,41.105378
210726,黑山县,122.117915,41.691804
210727,义县,121.242831,41.537224
210781,凌海市,121.364236,41.171738
210782,北镇市,121.795962,41.598764
210800,营口市,122.235151,40.667432
210802,站前区,122.253235,40.669949
210803,西市区,122.210067,40.663086
210804,鲅鱼圈区,122.127242,40.263646
210811,老边区,122.382584,40.682723
210881,盖州市,122.355534,40.405234
210882,大石桥市,122.505894,40.633973
210900,阜新市,121.648962,42.011796
210902,海州区,121.657639,42.011162
210903,新邱区,121.790541,42.086603
210904,太平区,121.677575,42.011145
210905,清河门区,121.42018,41.780477
210911,细河区,121.654791,42.019218
210921,阜新蒙古族自治县,121.743125,42.058607
210922,彰武县,122.537444,42.384823
211000,辽阳市,123.18152,41.269402
211002,白塔区,123.172611,41.26745
211003,文圣区,123.188227,41.266765
211004,宏伟区,123.200461,41.205747
211005,弓长岭区,123.431633,41.157831
211011,太子河区,123.185336,41.251682
211021,辽阳县,123.079674,41.216479
211081,灯塔市,123.325864,41.427836
211100,盘锦市,122.06957,41.124484
211102,双台子区,122.055733,41.190365
211103,兴隆台区,122.071624,41.122423
211121,大洼县,122.071708,40.994428
211122,盘山县,121.98528,41.240701
211200,铁岭市,123.844279,42.290585
211202,银州区,123.844877,42.292278
211204,清河区,124.14896,42.542978
211221,铁岭县,123.725669,42.223316
211223,西丰县,124.72332,42.738091
211224,昌图县,124.11017,42.784441
211281,调兵山市,123.545366,42.450734
211282,开原市,124.045551,42.542141
211300,朝阳市,120.451176,41.576758
211302,双塔区,120.44877,41.579389
211303,龙城区,120.413376,41.576749
211321,朝阳县,120.404217,41.526342
211322,建平县,119.642363,41.402576
211324,喀喇沁左翼蒙古族自治县,119.744883,41.125428
211381,北票市,120.766951,41.803286
211382,凌源市,119.404789,41.243086
211400,葫芦岛市,120.856394,40.755572
211402,连山区,120.85937,40.755143
211403,龙港区,120.838569,40.709991
211404,南票区,120.752314,41.098813
211421,绥中县,120.342112,40.328407
211422,建昌县,119.807776,40.812871
211481,兴城市,120.729365,40.619413
220000,吉林省,125.3245,43.886841
220100,长春市,125.3245,43.886841
220200,吉林市,126.55302,43.843577
220300,四平市,124.370785,43.170344
220400,辽源市,125.145349,42.902692
220500,通化市,125.936501,41.721177
220600,白山市,126.427839,41.942505
220700,松原市,124.823608,45.118243
220800,白城市,122.841114,45.619026
222400,延边朝鲜族自治州,129.513228,42.904823
220100,长春市,125.3245,43.886841
220102,南关区,125.337237,43.890235
220103,宽城区,125.342828,43.903823
220104,朝阳区,125.318042,43.86491
220105,二道区,125.384727,43.870824
220106,绿园区,125.272467,43.892177
220112,双阳区,125.659018,43.525168
220113,九台区,125.844682,44.157155
220122,农安县,125.175287,44.431258
220182,榆树市,126.550107,44.827642
220183,德惠市,125.703327,44.533909
220200,吉林市,126.55302,43.843577
220202,昌邑区,126.570766,43.851118
220203,龙潭区,126.561429,43.909755
220204,船营区,126.55239,43.843804
220211,丰满区,126.560759,43.816594
220221,永吉县,126.501622,43.667416
220281,蛟河市,127.342739,43.720579
220282,桦甸市,126.745445,42.972093
220283,舒兰市,126.947813,44.410906
220284,磐石市,126.059929,42.942476
220300,四平市,124.370785,43.170344
220302,铁西区,124.360894,43.176263
220303,铁东区,124.388464,43.16726
220322,梨树县,124.335802,43.30831
220323,伊通满族自治县,125.303124,43.345464
220381,公主岭市,124.817588,43.509474
220382,双辽市,123.505283,43.518275
220400,辽源市,125.145349,42.902692
220402,龙山区,125.145164,42.902702
220403,西安区,125.151424,42.920415
220421,东丰县,125.529623,42.675228
220422,东辽县,124.991995,42.927724
220500,通化市,125.936501,41.721177
220502,东昌区,125.936716,41.721233
220503,二道江区,126.045987,41.777564
220521,通化县,125.753121,41.677918
220523,辉南县,126.042821,42.683459
220524,柳河县,125.740536,42.281484
220581,梅河口市,125.687336,42.530002
220582,集安市,126.186204,41.126276
220600,白山市,126.427839,41.942505
220602,浑江区,126.428035,41.943065
220605,江源区,126.584229,42.048109
220621,抚松县,127.273796,42.332643
220622,靖宇县,126.808386,42.389689
220623,长白朝鲜族自治县,128.203384,41.419361
220681,临江市,126.919296,41.810689
220700,松原市,124.823608,45.118243
220702,宁江区,124.827851,45.176498
220721,前郭尔罗斯蒙古族自治县,124.826808,45.116288
220722,长岭县,123.985184,44.276579
220723,乾安县,124.024361,45.006846
